,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
0,0,Full on missing values,False,0,0.5,0,0.5299647473560517,0.472385428907168,0.15384615384615383,0.972972972972973,0.08695652173913043,0.08695652173913043
1,1,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5416666666666666,0.07999999999999999,1.0,0.041666666666666664,0.041666666666666664
2,2,Full on missing values,False,0,0.5,0,0.5,0.4809027777777778,0.0,1.0,0.0,0.0
3,3,Full on missing values,False,0,0.5,0,0.5,0.5208333333333334,0.0,1.0,0.0,0.0
4,4,Full on missing values,False,0,0.5,0,0.4930555555555555,0.5052083333333334,0.07407407407407407,0.9444444444444444,0.041666666666666664,0.041666666666666664
5,5,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5208333333333334,0.07999999999999999,1.0,0.041666666666666664,0.041666666666666664
6,6,Full on missing values,False,0,0.5,0,0.5217391304347826,0.5,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
7,7,Full on missing values,False,0,0.5,0,0.5,0.5434782608695652,0.0,1.0,0.0,0.0
8,8,Full on missing values,False,0,0.5,0,0.5217391304347826,0.5483091787439613,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
9,9,Full on missing values,False,0,0.5,0,0.5096618357487922,0.498792270531401,0.2,0.8888888888888888,0.13043478260869565,0.13043478260869565
10,10,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
11,11,Full on missing values,False,0,0.5,0,0.5,0.5005787037037036,0.0,1.0,0.0,0.0
12,12,Full on missing values,False,0,0.5,0,0.5,0.5069444444444445,0.0,1.0,0.0,0.0
13,13,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
14,14,Full on missing values,False,0,0.5,0,0.5416666666666666,0.5329861111111112,0.15384615384615385,1.0,0.08333333333333333,0.08333333333333333
15,15,Full on missing values,False,0,0.5,0,0.4861111111111111,0.4861111111111111,0.0,0.9722222222222222,0.0,0.0
16,16,Full on missing values,False,0,0.5,0,0.5,0.4861111111111111,0.0,1.0,0.0,0.0
17,17,Full on missing values,False,0,0.5,0,0.5217391304347826,0.5652173913043478,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
18,18,Full on missing values,False,0,0.5,0,0.5,0.5652173913043478,0.0,1.0,0.0,0.0
19,19,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
20,20,Full on missing values,False,0,0.5,0,0.47297297297297297,0.5246768507638073,0.0,0.9459459459459459,0.0,0.0
21,21,Full on missing values,False,0,0.5,0,0.5,0.5416666666666666,0.0,1.0,0.0,0.0
22,22,Full on missing values,False,0,0.5,0,0.4930555555555555,0.5497685185185186,0.07407407407407407,0.9444444444444444,0.041666666666666664,0.041666666666666664
23,23,Full on missing values,False,0,0.5,0,0.5416666666666666,0.5416666666666666,0.15384615384615385,1.0,0.08333333333333333,0.08333333333333333
24,24,Full on missing values,False,0,0.5,0,0.5,0.5069444444444445,0.0,1.0,0.0,0.0
25,25,Full on missing values,False,0,0.5,0,0.5,0.5069444444444445,0.0,1.0,0.0,0.0
26,26,Full on missing values,False,0,0.5,0,0.4861111111111111,0.47946859903381644,0.0,0.9722222222222222,0.0,0.0
27,27,Full on missing values,False,0,0.5,0,0.5434782608695652,0.5054347826086956,0.16,1.0,0.08695652173913043,0.08695652173913043
28,28,Full on missing values,False,0,0.5,0,0.4939613526570048,0.5084541062801933,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
29,29,Full on missing values,False,0,0.5,0,0.5,0.4915458937198068,0.0,1.0,0.0,0.0
30,30,Full on missing values,False,0,0.5,0,0.5,0.5082256169212691,0.0,1.0,0.0,0.0
31,31,Full on missing values,False,0,0.5,0,0.5,0.5092592592592593,0.0,1.0,0.0,0.0
32,32,Full on missing values,False,0,0.5,0,0.4722222222222222,0.4658564814814815,0.0,0.9444444444444444,0.0,0.0
33,33,Full on missing values,False,0,0.5,0,0.5,0.3958333333333333,0.0,1.0,0.0,0.0
34,34,Full on missing values,False,0,0.5,0,0.47916666666666663,0.46122685185185186,0.07142857142857142,0.9166666666666666,0.041666666666666664,0.041666666666666664
35,35,Full on missing values,False,0,0.5,0,0.5,0.5179398148148148,0.13793103448275862,0.9166666666666666,0.08333333333333333,0.08333333333333333
36,36,Full on missing values,False,0,0.5,0,0.5513285024154589,0.5652173913043478,0.22222222222222218,0.9722222222222222,0.13043478260869565,0.13043478260869565
37,37,Full on missing values,False,0,0.5,0,0.5157004830917874,0.5181159420289855,0.14814814814814817,0.9444444444444444,0.08695652173913043,0.08695652173913043
38,38,Full on missing values,False,0,0.5,0,0.5217391304347826,0.5126811594202899,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
39,39,Full on missing values,False,0,0.5,0,0.4939613526570048,0.5217391304347826,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
40,40,Full on missing values,False,0,0.5,0,0.47297297297297297,0.43243243243243246,0.0,0.9459459459459459,0.0,0.0
41,41,Full on missing values,False,0,0.5,0,0.5416666666666666,0.5416666666666666,0.15384615384615385,1.0,0.08333333333333333,0.08333333333333333
42,42,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
43,43,Full on missing values,False,0,0.5,0,0.4861111111111111,0.4861111111111111,0.0,0.9722222222222222,0.0,0.0
44,44,Full on missing values,False,0,0.5,0,0.4861111111111111,0.4583333333333333,0.0,0.9722222222222222,0.0,0.0
45,45,Full on missing values,False,0,0.5,0,0.4861111111111111,0.5,0.0,0.9722222222222222,0.0,0.0
46,46,Full on missing values,False,0,0.5,0,0.5,0.5078502415458938,0.0,1.0,0.0,0.0
47,47,Full on missing values,False,0,0.5,0,0.5,0.6086956521739131,0.0,1.0,0.0,0.0
48,48,Full on missing values,False,0,0.5,0,0.5,0.5217391304347826,0.0,1.0,0.0,0.0
49,49,Full on missing values,False,0,0.5,0,0.5078502415458938,0.5410628019323671,0.08,0.9722222222222222,0.043478260869565216,0.043478260869565216
50,50,Full on missing values,False,0,0.5,0,0.5652173913043478,0.553466509988249,0.23076923076923078,1.0,0.13043478260869565,0.13043478260869565
51,51,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5341435185185186,0.07999999999999999,1.0,0.041666666666666664,0.041666666666666664
52,52,Full on missing values,False,0,0.5,0,0.5,0.4936342592592593,0.0,1.0,0.0,0.0
53,53,Full on missing values,False,0,0.5,0,0.5,0.5208333333333333,0.0,1.0,0.0,0.0
54,54,Full on missing values,False,0,0.5,0,0.5277777777777778,0.5277777777777778,0.14814814814814814,0.9722222222222222,0.08333333333333333,0.08333333333333333
55,55,Full on missing values,False,0,0.5,0,0.4861111111111111,0.4525462962962963,0.0,0.9722222222222222,0.0,0.0
56,56,Full on missing values,False,0,0.5,0,0.5096618357487922,0.49033816425120763,0.2,0.8888888888888888,0.13043478260869565,0.13043478260869565
57,57,Full on missing values,False,0,0.5,0,0.5078502415458938,0.4420289855072464,0.08,0.9722222222222222,0.043478260869565216,0.043478260869565216
58,58,Full on missing values,False,0,0.5,0,0.4800724637681159,0.4613526570048309,0.07407407407407408,0.9166666666666666,0.043478260869565216,0.043478260869565216
59,59,Full on missing values,False,0,0.5,0,0.4939613526570048,0.4933574879227053,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
60,60,Full on missing values,False,0,0.5,0,0.5082256169212691,0.4870740305522914,0.08,0.972972972972973,0.043478260869565216,0.043478260869565216
61,61,Full on missing values,False,0,0.5,0,0.47916666666666663,0.4658564814814815,0.07142857142857142,0.9166666666666666,0.041666666666666664,0.041666666666666664
62,62,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5341435185185186,0.07999999999999999,1.0,0.041666666666666664,0.041666666666666664
63,63,Full on missing values,False,0,0.5,0,0.5069444444444444,0.4351851851851852,0.07692307692307693,0.9722222222222222,0.041666666666666664,0.041666666666666664
64,64,Full on missing values,False,0,0.5,0,0.4930555555555555,0.49884259259259256,0.07407407407407407,0.9444444444444444,0.041666666666666664,0.041666666666666664
65,65,Full on missing values,False,0,0.5,0,0.5138888888888888,0.5208333333333334,0.14285714285714285,0.9444444444444444,0.08333333333333333,0.08333333333333333
66,66,Full on missing values,False,0,0.5,0,0.5078502415458938,0.4963768115942029,0.08,0.9722222222222222,0.043478260869565216,0.043478260869565216
67,67,Full on missing values,False,0,0.5,0,0.5217391304347826,0.5,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
68,68,Full on missing values,False,0,0.5,0,0.5434782608695652,0.5434782608695652,0.16,1.0,0.08695652173913043,0.08695652173913043
69,69,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
70,70,Full on missing values,False,0,0.5,0,0.5,0.5082256169212691,0.0,1.0,0.0,0.0
71,71,Full on missing values,False,0,0.5,0,0.5208333333333334,0.5746527777777778,0.07999999999999999,1.0,0.041666666666666664,0.041666666666666664
72,72,Full on missing values,False,0,0.5,0,0.47916666666666663,0.46064814814814814,0.07142857142857142,0.9166666666666666,0.041666666666666664,0.041666666666666664
73,73,Full on missing values,False,0,0.5,0,0.5,0.5208333333333334,0.0,1.0,0.0,0.0
74,74,Full on missing values,False,0,0.5,0,0.5416666666666666,0.5497685185185185,0.25806451612903225,0.9166666666666666,0.16666666666666666,0.16666666666666666
75,75,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
76,76,Full on missing values,False,0,0.5,0,0.5295893719806763,0.5283816425120773,0.15384615384615383,0.9722222222222222,0.08695652173913043,0.08695652173913043
77,77,Full on missing values,False,0,0.5,0,0.4800724637681159,0.44323671497584544,0.07407407407407408,0.9166666666666666,0.043478260869565216,0.043478260869565216
78,78,Full on missing values,False,0,0.5,0,0.5,0.5138888888888888,0.0,1.0,0.0,0.0
79,79,Full on missing values,False,0,0.5,0,0.5,0.5217391304347826,0.0,1.0,0.0,0.0
80,80,Full on missing values,False,0,0.5,0,0.5082256169212691,0.5082256169212691,0.08,0.972972972972973,0.043478260869565216,0.043478260869565216
81,81,Full on missing values,False,0,0.5,0,0.5694444444444444,0.5515046296296297,0.27586206896551724,0.9722222222222222,0.16666666666666666,0.16666666666666666
82,82,Full on missing values,False,0,0.5,0,0.4722222222222222,0.4525462962962963,0.0,0.9444444444444444,0.0,0.0
83,83,Full on missing values,False,0,0.5,0,0.5277777777777778,0.5086805555555556,0.14814814814814814,0.9722222222222222,0.08333333333333333,0.08333333333333333
84,84,Full on missing values,False,0,0.5,0,0.5,0.5416666666666666,0.0,1.0,0.0,0.0
85,85,Full on missing values,False,0,0.5,0,0.5277777777777778,0.5289351851851852,0.14814814814814814,0.9722222222222222,0.08333333333333333,0.08333333333333333
86,86,Full on missing values,False,0,0.5,0,0.5,0.5078502415458938,0.0,1.0,0.0,0.0
87,87,Full on missing values,False,0,0.5,0,0.5078502415458938,0.4939613526570048,0.08,0.9722222222222222,0.043478260869565216,0.043478260869565216
88,88,Full on missing values,False,0,0.5,0,0.5,0.5217391304347826,0.0,1.0,0.0,0.0
89,89,Full on missing values,False,0,0.5,0,0.4939613526570048,0.5006038647342994,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
90,90,Full on missing values,False,0,0.5,0,0.5434782608695652,0.5217391304347826,0.16,1.0,0.08695652173913043,0.08695652173913043
91,91,Full on missing values,False,0,0.5,0,0.5069444444444444,0.5063657407407408,0.07692307692307693,0.9722222222222222,0.041666666666666664,0.041666666666666664
92,92,Full on missing values,False,0,0.5,0,0.5,0.4953703703703704,0.13793103448275862,0.9166666666666666,0.08333333333333333,0.08333333333333333
93,93,Full on missing values,False,0,0.5,0,0.5,0.5075231481481483,0.0,1.0,0.0,0.0
94,94,Full on missing values,False,0,0.5,0,0.5069444444444444,0.5358796296296297,0.07692307692307693,0.9722222222222222,0.041666666666666664,0.041666666666666664
95,95,Full on missing values,False,0,0.5,0,0.5,0.4809027777777778,0.0,1.0,0.0,0.0
96,96,Full on missing values,False,0,0.5,0,0.4939613526570048,0.5314009661835748,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
97,97,Full on missing values,False,0,0.5,0,0.4939613526570048,0.5332125603864734,0.07692307692307691,0.9444444444444444,0.043478260869565216,0.043478260869565216
98,98,Full on missing values,False,0,0.5,0,0.5434782608695652,0.5096618357487923,0.16,1.0,0.08695652173913043,0.08695652173913043
99,99,Full on missing values,False,0,0.5,0,0.5,0.5,0.0,1.0,0.0,0.0
