,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
0,0,Full on missing values,False,0,0.5,0,0.5440658049353702,0.5405405405405406,0.3684210526315789,0.7837837837837838,0.30434782608695654,0.30434782608695654
1,1,Full on missing values,False,0,0.5,0,0.5416666666666666,0.5543981481481481,0.25806451612903225,0.9166666666666666,0.16666666666666666,0.16666666666666666
2,2,Full on missing values,False,0,0.5,0,0.5277777777777778,0.4716435185185185,0.14814814814814814,0.9722222222222222,0.08333333333333333,0.08333333333333333
3,3,Full on missing values,False,0,0.5,0,0.5,0.4189814814814815,0.0,1.0,0.0,0.0
4,4,Full on missing values,False,0,0.5,0,0.513888888888889,0.5086805555555556,0.24242424242424243,0.8611111111111112,0.16666666666666666,0.16666666666666666
5,5,Full on missing values,False,0,0.5,0,0.4861111111111111,0.5109953703703703,0.2285714285714286,0.8055555555555556,0.16666666666666666,0.16666666666666666
6,6,Full on missing values,False,0,0.5,0,0.5217391304347826,0.4492753623188407,0.08333333333333333,1.0,0.043478260869565216,0.043478260869565216
7,7,Full on missing values,False,0,0.5,0,0.5549516908212561,0.5259661835748792,0.3783783783783784,0.8055555555555556,0.30434782608695654,0.30434782608695654
8,8,Full on missing values,False,0,0.5,0,0.5235507246376812,0.5597826086956522,0.20689655172413793,0.9166666666666666,0.13043478260869565,0.13043478260869565
9,9,Full on missing values,False,0,0.5,0,0.4855072463768116,0.41485507246376807,0.3333333333333333,0.6666666666666666,0.30434782608695654,0.30434782608695654
10,10,Full on missing values,False,0,0.5,0,0.5246768507638073,0.6792009400705052,0.20689655172413793,0.918918918918919,0.13043478260869565,0.13043478260869565
11,11,Full on missing values,False,0,0.5,0,0.5069444444444444,0.49594907407407407,0.19354838709677416,0.8888888888888888,0.125,0.125
12,12,Full on missing values,False,0,0.5,0,0.5833333333333333,0.5231481481481483,0.36363636363636365,0.9166666666666666,0.25,0.25
13,13,Full on missing values,False,0,0.5,0,0.5625,0.671875,0.3125,0.9166666666666666,0.20833333333333334,0.20833333333333334
14,14,Full on missing values,False,0,0.5,0,0.5138888888888888,0.5740740740740741,0.14285714285714285,0.9444444444444444,0.08333333333333333,0.08333333333333333
15,15,Full on missing values,False,0,0.5,0,0.4305555555555556,0.4895833333333333,0.11764705882352941,0.7777777777777778,0.08333333333333333,0.08333333333333333
16,16,Full on missing values,False,0,0.5,0,0.5748792270531401,0.5905797101449275,0.36363636363636365,0.8888888888888888,0.2608695652173913,0.2608695652173913
