,Fold,Model,Random State,Random Permutation,Number of Estimators,alpha,lambda,eta,max_depth
0,0,Admission,False,0,19,0.056081030385717726,0.0027407594776913615,0.31887705949099315,2
1,1,Admission,False,0,54,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
2,2,Admission,False,0,23,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
3,3,Admission,False,0,24,0.5062773522827148,0.00022554318605504543,0.5500424753200767,2
4,4,Admission,False,0,28,0.008512108396019302,1.8971121799623472e-07,0.4961430885932571,1
5,5,Admission,False,0,20,0.001021129226860709,0.07690909335859643,0.30626067614556096,2
6,6,Admission,False,0,20,0.050744536034935145,0.2960799686613531,0.28932018957647865,2
7,7,Admission,False,0,22,1.0909618532217868,0.0015647348171294842,0.33672764666884264,2
8,8,Admission,False,0,49,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
9,9,Admission,False,0,51,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
10,10,Admission,False,0,31,0.8149459364711711,0.0009066756572972042,0.43107329695500446,1
11,11,Admission,False,0,27,0.01076174182602687,2.3171587198785327e-06,0.22117174860032382,3
12,12,Admission,False,0,18,0.00554766921321543,0.09254350224585381,0.34875131001007204,2
13,13,Admission,False,0,19,0.006654254629126507,5.965822433989093e-07,0.5687789852260939,1
14,14,Admission,False,0,13,0.12868030401260047,0.004858386739423149,0.3982621281948958,2
15,15,Admission,False,0,14,3.582357883048318,1.3117428796955005e-06,0.3485581219556834,5
16,16,Admission,False,0,11,0.00016539935463338702,20.264301540556378,0.39269209675499644,3
17,17,Admission,False,0,31,0.010207073332560494,0.0015154503382996587,0.4073478024628972,1
18,18,Admission,False,0,70,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
19,19,Admission,False,0,25,0.004749142758071531,1.1075623307438696e-07,0.26031152321466083,2
20,20,Admission,False,0,12,2.7192629957400163,0.0005845857616730452,0.24721452164989496,4
21,21,Admission,False,0,99,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
22,22,Admission,False,0,12,0.0023688792659571434,4.8971472501422993e-05,0.2755302346985445,3
