,Fold,Model,Random State,Random Permutation,Number of Estimators,alpha,lambda,eta,max_depth
0,0,Full Model,False,0,18,4.465842230501051,4.243074639816838e-06,0.25440428131816706,5
1,1,Full Model,False,0,18,0.21761785538142464,13.274899497052774,0.8404683403990909,4
2,2,Full Model,False,0,21,2.852992785556754,4.148299069775339,0.25892397900291536,3
3,3,Full Model,False,0,64,2.025207546203474,0.0014772776063369723,0.21142942773211604,2
4,4,Full Model,False,0,146,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
5,5,Full Model,False,0,49,3.353830860724247e-05,15.660031628394107,0.48830713971370576,3
6,6,Full Model,False,0,209,0.05681626305842594,6.6238522963445425e-06,0.19690026320274626,4
7,7,Full Model,False,0,26,0.002981273435463824,9.703155629757735,0.3883664868312723,3
8,8,Full Model,False,0,29,1.9074480965422003,0.00011886392717163007,0.33862473524053355,2
9,9,Full Model,False,0,42,2.310235765373672,3.124018538483676e-08,0.14824722911559152,5
10,10,Full Model,False,0,69,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
11,11,Full Model,False,0,15,3.390004565461104,0.015790143295433705,0.1853533359101602,4
12,12,Full Model,False,0,27,2.5784621760377022,0.00016478800227613246,0.37427626016628174,2
13,13,Full Model,False,0,23,5.416726532440889,0.04146522791067595,0.22135288977621653,4
14,14,Full Model,False,0,52,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
15,15,Full Model,False,0,23,3.571154947434401,0.02755289030742245,0.3513278202968646,3
16,16,Full Model,False,0,13,0.06040471842700665,8.787180590872488,0.3958071263165584,3
17,17,Full Model,False,0,39,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
18,18,Full Model,False,0,67,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
19,19,Full Model,False,0,57,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
20,20,Full Model,False,0,26,2.2680307720341264,0.013033834421630586,0.3426995460199067,2
21,21,Full Model,False,0,41,2.393332664295614,0.13611471145967458,0.5890719955373471,1
22,22,Full Model,False,0,26,0.26632702221338833,0.001252413724420439,0.18299281047919846,3
23,23,Full Model,False,0,22,0.0013483747838881094,0.7511119509560853,0.3366782204533773,2
24,24,Full Model,False,0,236,0.00034408037811652125,45.31369095461996,0.9786088603621668,4
25,25,Full Model,False,0,43,3.289961463407674,0.018369059565147748,0.361370814248506,2
26,26,Full Model,False,0,84,0.395553525683293,1.0101158421412067e-05,0.20045142509246058,4
27,27,Full Model,False,0,45,1.108809041951023,4.5604427248053625,0.28629978803185846,4
28,28,Full Model,False,0,43,0.8612558716525054,7.563648568728523e-06,0.37032659683930247,2
29,29,Full Model,False,0,33,2.9116002929193825,1.526928254560444e-05,0.2588156372836737,4
30,30,Full Model,False,0,15,1.6931472152566537e-05,9.51238891609516,0.6466471234495442,4
31,31,Full Model,False,0,13,0.0006198718798229936,0.0036340672546308316,0.23707619156118495,5
32,32,Full Model,False,0,29,0.8949399480924353,7.189529470727913e-07,0.15322759590086574,3
33,33,Full Model,False,0,74,0.10448195742079956,0.15408522421559429,0.2374026685467775,5
34,34,Full Model,False,0,51,2.427670563497806,0.015284264539924727,0.2670684300641367,1
35,35,Full Model,False,0,59,0.4823052422509322,2.2305201967077357,0.12811489667431994,4
36,36,Full Model,False,0,47,0.0009610779418481245,4.067506550621408e-08,0.21689593289116596,4
37,37,Full Model,False,0,91,2.7417191919755224e-08,66.62084534292218,0.6864744006424386,4
38,38,Full Model,False,0,36,0.10404531024372697,30.908819540735813,0.5543910400342587,2
39,39,Full Model,False,0,52,0.05252241492742015,6.140189509257846,0.4047627048507771,2
40,40,Full Model,False,0,174,8.985476116097895e-07,5.838489120059765e-06,0.27160130304227426,5
41,41,Full Model,False,0,44,4.905929144657378,0.00022441142598039561,0.22226719221116104,2
42,42,Full Model,False,0,35,4.2681179859528156,3.911763561095663e-07,0.1776268947670902,4
43,43,Full Model,False,0,40,0.1919063202216491,0.00042836501707785155,0.2955245428626608,3
44,44,Full Model,False,0,26,2.3428940044460536,0.05843356561121278,0.24653340965820825,5
45,45,Full Model,False,0,47,0.015584546282038286,2.569695905571765e-05,0.15254760268539025,3
46,46,Full Model,False,0,66,2.266120816696374,3.5079199690090543e-07,0.3161700839334569,2
47,47,Full Model,False,0,31,0.8905565604384088,4.549839369018311,0.231432228719527,3
48,48,Full Model,False,0,58,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
49,49,Full Model,False,0,81,1.6945739793025686e-07,18.1743431160975,0.24922025089741426,4
50,50,Full Model,False,0,45,2.9116031707995518,0.0032076776732808693,0.11984945119842043,5
51,51,Full Model,False,0,17,3.72490790094305,0.015284264539924727,0.20061199811772507,2
52,52,Full Model,False,0,18,2.848514857264078,0.56285103445022,0.2807903700867464,2
53,53,Full Model,False,0,98,0.17543258237322182,9.663640898637414,0.40941220897594205,3
54,54,Full Model,False,0,26,1.4090806194963719,1.240791450443103e-08,0.32202181649683603,2
55,55,Full Model,False,0,11,8.530713753395701e-07,2.1551678997743156e-07,0.26175772222748,5
56,56,Full Model,False,0,11,0.5060431743393016,6.622841013653361,0.2887113691352641,3
57,57,Full Model,False,0,57,0.4862712874140381,0.07034172518445114,0.18752277498613168,3
58,58,Full Model,False,0,32,3.3858069485690483,0.006467636406070374,0.2170215396821137,3
59,59,Full Model,False,0,27,5.034085714834238,0.0652348398816966,0.33286846954472654,2
60,60,Full Model,False,0,102,0.0035176645522427144,0.011060790496985343,0.22833139987558382,4
61,61,Full Model,False,0,29,1.378586181253029,0.02656281889452011,0.3678522289748725,2
62,62,Full Model,False,0,92,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
63,63,Full Model,False,0,23,6.583137442219353,0.005422377028691125,0.35785545454019313,2
64,64,Full Model,False,0,20,7.906460400291827e-08,0.0003797373838614526,0.14669903366349588,5
65,65,Full Model,False,0,44,3.716236653318122,0.00039882419126471147,0.19745645509769436,3
66,66,Full Model,False,0,48,1.3924908579557504,0.00011694180893291542,0.1871070696637805,5
67,67,Full Model,False,0,25,2.3564411079412424,5.327499914626686e-05,0.2569259884370829,5
68,68,Full Model,False,0,34,2.3931484130116116,1.2697850784768074,0.29366591690626387,5
69,69,Full Model,False,0,411,1.9484262251266644e-08,1.1790320732148032e-05,0.23518943678844498,5
70,70,Full Model,False,0,15,3.15724172223111,3.012950285786798,0.7056722973933877,5
71,71,Full Model,False,0,21,2.007405942053631,0.0005609361398771528,0.21946017476367372,5
72,72,Full Model,False,0,134,1.6367502281769073,2.442061914364408,0.3005314166456753,1
73,73,Full Model,False,0,46,0.0004754034119158327,71.74952358198092,0.9974766611914967,4
74,74,Full Model,False,0,22,2.987737553469742,6.413447845155385e-05,0.20987490786107965,4
75,75,Full Model,False,0,21,2.1170077763742383,0.005693564644647369,0.12522282236112298,3
76,76,Full Model,False,0,56,2.6729655666145114e-05,2.749063793913827e-05,0.23176585275572573,5
77,77,Full Model,False,0,130,4.962520445185759,4.198235358337357e-06,0.3055806415126296,1
78,78,Full Model,False,0,29,0.0965798880069245,8.633809459962459,0.24649273405513836,5
79,79,Full Model,False,0,28,3.11392324025799,0.404416986156127,0.25587124624564855,4
80,80,Full Model,False,0,11,2.351265973481044,0.012256800061358026,0.2942062853641426,3
81,81,Full Model,False,0,282,3.28869732648068e-07,9.534025568504383e-06,0.27643813285303964,5
82,82,Full Model,False,0,79,3.3316811703252567,0.45143746025543274,0.19160014965756875,2
83,83,Full Model,False,0,189,1.1714498518819602e-07,0.00016075310436666833,0.23176585275572573,5
84,84,Full Model,False,0,195,0.08880328358636964,1.681631790707467e-05,0.13875170258572048,3
85,85,Full Model,False,0,28,0.003192421816131176,9.098572610110253,0.24035061405710564,4
86,86,Full Model,False,0,55,5.191643043959532e-05,4.819468197759451,0.5194678350467171,5
87,87,Full Model,False,0,56,1.4029889256222072,43.91319704636584,0.4361636709192521,2
88,88,Full Model,False,0,69,0.01499680578245846,4.692367638916153e-07,0.24685530595544394,1
