,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
0,0,Full Model Train,False,0,0.0,0,0.5,0.9909882366643372,0.5668449197860963,0.0,1.0,1.0
1,0,Full Model Train,False,0,0.01,0,0.5,0.9909882366643372,0.5668449197860963,0.0,1.0,1.0
2,0,Full Model Train,False,0,0.02,0,0.5,0.9909882366643372,0.5668449197860963,0.0,1.0,1.0
3,0,Full Model Train,False,0,0.03,0,0.5046296296296297,0.9909882366643372,0.5691275167785235,0.009259259259259259,1.0,1.0
4,0,Full Model Train,False,0,0.04,0,0.5231481481481481,0.9909882366643372,0.5784447476125512,0.046296296296296294,1.0,1.0
5,0,Full Model Train,False,0,0.05,0,0.5555555555555556,0.9909882366643372,0.5955056179775281,0.1111111111111111,1.0,1.0
6,0,Full Model Train,False,0,0.06,0,0.5817901234567902,0.9909882366643372,0.6100719424460431,0.16358024691358025,1.0,1.0
7,0,Full Model Train,False,0,0.07,0,0.595679012345679,0.9909882366643372,0.6180758017492711,0.19135802469135801,1.0,1.0
8,0,Full Model Train,False,0,0.08,0,0.6188271604938271,0.9909882366643372,0.6318926974664679,0.23765432098765432,1.0,1.0
9,0,Full Model Train,False,0,0.09,0,0.6481481481481481,0.9909882366643372,0.6503067484662576,0.2962962962962963,1.0,1.0
10,0,Full Model Train,False,0,0.1,0,0.6728395061728395,0.9909882366643372,0.6666666666666666,0.345679012345679,1.0,1.0
11,0,Full Model Train,False,0,0.11,0,0.6867283950617284,0.9909882366643372,0.6762360446570973,0.3734567901234568,1.0,1.0
12,0,Full Model Train,False,0,0.12,0,0.7114197530864197,0.9909882366643372,0.6939443535188216,0.4228395061728395,1.0,1.0
13,0,Full Model Train,False,0,0.13,0,0.7253086419753086,0.9909882366643372,0.7043189368770765,0.4506172839506173,1.0,1.0
14,0,Full Model Train,False,0,0.14,0,0.7484567901234568,0.9909882366643372,0.7223168654173766,0.49691358024691357,1.0,1.0
15,0,Full Model Train,False,0,0.15,0,0.7685185185185186,0.9909882366643372,0.7386759581881532,0.5370370370370371,1.0,1.0
16,0,Full Model Train,False,0,0.16,0,0.779320987654321,0.9909882366643372,0.7477954144620811,0.558641975308642,1.0,1.0
17,0,Full Model Train,False,0,0.17,0,0.7885802469135803,0.9909882366643372,0.7557932263814616,0.5771604938271605,1.0,1.0
18,0,Full Model Train,False,0,0.18,0,0.7993827160493827,0.9909882366643372,0.7653429602888087,0.5987654320987654,1.0,1.0
19,0,Full Model Train,False,0,0.19,0,0.8078266946191475,0.9909882366643372,0.7728937728937728,0.6203703703703703,0.9952830188679245,0.9952830188679245
20,0,Full Model Train,False,0,0.2,0,0.8232587933845795,0.9909882366643372,0.7873134328358209,0.6512345679012346,0.9952830188679245,0.9952830188679245
21,0,Full Model Train,False,0,0.21,0,0.8386908921500116,0.9909882366643372,0.8022813688212926,0.6820987654320988,0.9952830188679245,0.9952830188679245
22,0,Full Model Train,False,0,0.22,0,0.8479501514092709,0.9909882366643372,0.8115384615384615,0.7006172839506173,0.9952830188679245,0.9952830188679245
23,0,Full Model Train,False,0,0.23,0,0.8541229909154437,0.9909882366643372,0.8178294573643411,0.7129629629629629,0.9952830188679245,0.9952830188679245
24,0,Full Model Train,False,0,0.24,0,0.8572094106685302,0.9909882366643372,0.821011673151751,0.7191358024691358,0.9952830188679245,0.9952830188679245
25,0,Full Model Train,False,0,0.25,0,0.8649254600512462,0.9909882366643372,0.8290766208251473,0.7345679012345679,0.9952830188679245,0.9952830188679245
26,0,Full Model Train,False,0,0.26,0,0.8819007686932214,0.9909882366643372,0.8473895582329318,0.7685185185185185,0.9952830188679245,0.9952830188679245
27,0,Full Model Train,False,0,0.27,0,0.8973328674586536,0.9909882366643372,0.8647540983606558,0.7993827160493827,0.9952830188679245,0.9952830188679245
28,0,Full Model Train,False,0,0.28,0,0.8980607966457024,0.9909882366643372,0.8659793814432989,0.8055555555555556,0.9905660377358491,0.9905660377358491
29,0,Full Model Train,False,0,0.29,0,0.910406475658048,0.9909882366643372,0.880503144654088,0.8302469135802469,0.9905660377358491,0.9905660377358491
30,0,Full Model Train,False,0,0.3,0,0.9150361052876776,0.9909882366643372,0.8860759493670887,0.8395061728395061,0.9905660377358491,0.9905660377358491
