,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
0,0,CardShock_Score_test,False,0,0.5,0,0.5555555555555556,0.5,0.4,0.7777777777777778,0.3333333333333333,0.3333333333333333
1,0,CardShock_Score_train,False,0,0.5,0,0.6506410256410257,0.7155448717948718,0.5714285714285714,0.717948717948718,0.5833333333333334,0.5833333333333334
2,1,CardShock_Score_test,False,0,0.5,0,0.5,0.8,0.0,1.0,0.0,0.0
3,1,CardShock_Score_train,False,0,0.5,0,0.554552590266876,0.6835426478283622,0.3188405797101449,0.8846153846153846,0.22448979591836735,0.22448979591836735
4,2,CardShock_Score_test,False,0,0.5,0,0.4444444444444444,0.6333333333333334,0.0,0.8888888888888888,0.0,0.0
5,2,CardShock_Score_train,False,0,0.5,0,0.5609628466771324,0.7001569858712715,0.32352941176470584,0.8974358974358975,0.22448979591836735,0.22448979591836735
6,3,CardShock_Score_test,False,0,0.5,0,0.4444444444444444,0.6888888888888889,0.0,0.8888888888888888,0.0,0.0
7,3,CardShock_Score_train,False,0,0.5,0,0.5609628466771324,0.6930926216640503,0.32352941176470584,0.8974358974358975,0.22448979591836735,0.22448979591836735
8,4,CardShock_Score_test,False,0,0.5,0,0.8333333333333333,0.888888888888889,0.7692307692307693,0.6666666666666666,1.0,1.0
9,4,CardShock_Score_train,False,0,0.5,0,0.6204866562009419,0.6832810047095761,0.5263157894736842,0.7307692307692307,0.5102040816326531,0.5102040816326531
10,5,CardShock_Score_test,False,0,0.5,0,0.6,0.6888888888888889,0.33333333333333337,1.0,0.2,0.2
11,5,CardShock_Score_train,False,0,0.5,0,0.5443485086342229,0.6941391941391941,0.29411764705882354,0.8846153846153846,0.20408163265306123,0.20408163265306123
12,6,CardShock_Score_test,False,0,0.5,0,0.6333333333333333,0.7000000000000001,0.5454545454545454,0.6666666666666666,0.6,0.6
13,6,CardShock_Score_train,False,0,0.5,0,0.640894819466248,0.6936159079016223,0.5567010309278351,0.7307692307692307,0.5510204081632653,0.5510204081632653
14,7,CardShock_Score_test,False,0,0.5,0,0.6041666666666666,0.7604166666666666,0.4444444444444444,0.875,0.3333333333333333,0.3333333333333333
15,7,CardShock_Score_train,False,0,0.5,0,0.5431170886075949,0.6847310126582278,0.27692307692307694,0.8987341772151899,0.1875,0.1875
16,8,CardShock_Score_test,False,0,0.5,0,0.41666666666666663,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
17,8,CardShock_Score_train,False,0,0.5,0,0.6650843881856541,0.7199367088607594,0.5833333333333334,0.7468354430379747,0.5833333333333334,0.5833333333333334
18,9,CardShock_Score_test,False,0,0.5,0,0.5833333333333334,0.9375,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666
19,9,CardShock_Score_train,False,0,0.5,0,0.547204641350211,0.6677215189873418,0.29850746268656714,0.8860759493670886,0.20833333333333334,0.20833333333333334
20,10,CardShock_Score_test,False,0,0.5,0,0.5,0.7037037037037037,0.0,1.0,0.0,0.0
21,10,CardShock_Score_train,False,0,0.5,0,0.5568910256410257,0.6901709401709402,0.32352941176470584,0.8846153846153846,0.22916666666666666,0.22916666666666666
22,11,CardShock_Score_test,False,0,0.5,0,0.5777777777777777,0.5666666666666667,0.5,0.5555555555555556,0.6,0.6
23,11,CardShock_Score_train,False,0,0.5,0,0.6473050758765044,0.7089220303506019,0.5625,0.7435897435897436,0.5510204081632653,0.5510204081632653
24,12,CardShock_Score_test,False,0,0.5,0,0.6,0.7555555555555555,0.33333333333333337,1.0,0.2,0.2
25,12,CardShock_Score_train,False,0,0.5,0,0.5443485086342229,0.6861590790162218,0.29411764705882354,0.8846153846153846,0.20408163265306123,0.20408163265306123
26,13,CardShock_Score_test,False,0,0.5,0,0.4777777777777778,0.5000000000000001,0.3636363636363636,0.5555555555555556,0.4,0.4
27,13,CardShock_Score_train,False,0,0.5,0,0.6575091575091575,0.7149398220826793,0.577319587628866,0.7435897435897436,0.5714285714285714,0.5714285714285714
28,14,CardShock_Score_test,False,0,0.5,0,0.5888888888888889,0.5666666666666667,0.4444444444444445,0.7777777777777778,0.4,0.4
29,14,CardShock_Score_train,False,0,0.5,0,0.6446886446886446,0.7048665620094192,0.5656565656565656,0.717948717948718,0.5714285714285714,0.5714285714285714
30,15,CardShock_Score_test,False,0,0.5,0,0.7333333333333334,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.8,0.8
31,15,CardShock_Score_train,False,0,0.5,0,0.630690737833595,0.6875981161695448,0.5416666666666667,0.7307692307692307,0.5306122448979592,0.5306122448979592
32,16,CardShock_Score_test,False,0,0.5,0,0.6888888888888889,0.7666666666666667,0.6,0.7777777777777778,0.6,0.6
33,16,CardShock_Score_train,False,0,0.5,0,0.6344845630559917,0.6856357927786499,0.5510204081632653,0.717948717948718,0.5510204081632653,0.5510204081632653
34,17,CardShock_Score_test,False,0,0.5,0,0.5,0.9166666666666666,0.0,1.0,0.0,0.0
